"business_name","business_type","post","rating","scores","date","local_authority"
"Betty's Cakes","Other catering premises",NA,"5","000","2016-09-23","Darlington"
"Bewick House","Hospitals/Childcare/Caring Premises","DL1 3HW","5","000","2016-03-01","Darlington"
"Bhs Plc","Retailers - other","DL1 1PR","Exempt","","2009-12-07","Darlington"
"Big Al's Snack Attack","Mobile caterer",NA,"4","5105","2016-03-01","Darlington"
"Big Bite","Takeaway/sandwich shop","DL3 7JE","5","","2016-11-17","Darlington"
"Big Kids Little Kids Childcare","Restaurant/Cafe/Canteen","DL1 1QU","5","","2016-09-14","Darlington"
"Big Pan And Grill","Mobile caterer","DL1 2DD","5","000","2017-01-26","Darlington"
"Biglin News","Retailers - other","DL3 0LF","5","000","2015-09-03","Darlington"
"Bijou","Retailers - other","DL1 1LU","5","000","2016-02-26","Darlington"
"Binns Ltd","Retailers - other","DL3 7QE","Exempt","","2009-03-30","Darlington"
"Bino's Pizza","Takeaway/sandwich shop","DL1 2AY","5","500","2017-04-26","Darlington"
"Bishopton And Redmarshall CE Primary School","School/college/university","TS21 1HD","5","000","2016-05-23","Darlington"
"Black Olive Deli","Takeaway/sandwich shop","DL1 5NA","5","555","2015-11-24","Darlington"
"Blackwell Grange Golf Club Ltd","Pub/bar/nightclub","DL2 2SA","AwaitingInspection","","","Darlington"
"Blackwell Grange Hotel","Hotel/bed & breakfast/guest house","DL3 8QH","5","050","2016-07-08","Darlington"
"Blackwell Store","Retailers - other","DL3 8QN","5","000","2015-05-15","Darlington"
"Blair And Sons","Retailers - other","DL1 5PX","5","000","2015-01-19","Darlington"
"Blue Lagoon Restaurant","Restaurant/Cafe/Canteen","DL1 5NA","3","101010","2017-03-14","Darlington"
"Bookers Cash And Carry Ltd","Retailers - other","DL1 1YB","5","000","2015-02-27","Darlington"
"Boot And Shoe","Pub/bar/nightclub","DL1 5QD","5","000","2015-12-21","Darlington"
"Boots","Retailers - other","DL3 7QW","Exempt","","2009-03-30","Darlington"
"Boots","Retailers - other","DL1 1TT","5","000","2017-01-18","Darlington"
"Borough Road Nursery","School/college/university","DL1 1SG","5","555","2014-11-05","Darlington"
"Boyes Ltd","Retailers - other","DL1 5PW","Exempt","","2016-02-23","Darlington"
"Brafferton And Coatham Mundeville Village Hall Assocition","Restaurant/Cafe/Canteen","DL1 3LA","Exempt","","2016-03-31","Darlington"
"Branksome Baps","Takeaway/sandwich shop","DL3 9UH","5","000","2017-03-16","Darlington"
"Branksome Hall Community Kitchen","Other catering premises","DL3 9SR","5","000","2015-06-02","Darlington"
"Breezey's","Takeaway/sandwich shop","DL1 4BB","5","000","2017-03-10","Darlington"
"Brinkburn Fisheries","Takeaway/sandwich shop","DL3 6QH","5","000","2015-05-01","Darlington"
"Britannia Inn","Retailers - other","DL3 6LR","5","000","2016-11-21","Darlington"
"Brough House","Hotel/bed & breakfast/guest house","DL1 2DD","5","000","2016-02-02","Darlington"
"Builders Arms","Pub/bar/nightclub","DL3 6RQ","5","000","2017-02-14","Darlington"
"Burger King","Restaurant/Cafe/Canteen","DL1 1LS","5","000","2016-10-21","Darlington"
"Burtree Inn","Pub/bar/nightclub","DL2 2XZ","4","5105","2016-05-04","Darlington"
"Burtree Puddings","Other catering premises",NA,"5","000","2016-03-22","Darlington"
"Busters","Pub/bar/nightclub","DL1 1XH","5","000","2014-11-04","Darlington"
"Busy Bee","Takeaway/sandwich shop","DL1 1RX","5","555","2015-09-01","Darlington"
"Busy Bees Darlington","Hospitals/Childcare/Caring Premises","DL3 9EX","5","000","2015-11-23","Darlington"
"Buttercream","Other catering premises",NA,"5","000","2016-04-28","Darlington"
"Cadmen Stores","Retailers - other","DL3 0HQ","5","000","2016-12-29","Darlington"
"Cafe Bontanico At House Of Fraser","Restaurant/Cafe/Canteen","DL3 7QE","5","555","2014-10-30","Darlington"
"Cafe JJ","Other catering premises","DL1 5EB","5","000","2016-11-01","Darlington"
"Cafe Maestro","Restaurant/Cafe/Canteen","DL1 1LS","5","050","2015-05-05","Darlington"
"Cafe Spice","Restaurant/Cafe/Canteen","DL3 7QH","5","555","2016-03-07","Darlington"
"Cafe Valente","Restaurant/Cafe/Canteen","DL3 7LU","5","","2017-03-14","Darlington"
"Cafe W","Retailers - other","DL1 1LS","5","000","2016-09-01","Darlington"
"Cafe Zest (Massarella Group Ltd) At House Of Fraser","Restaurant/Cafe/Canteen","DL3 7QE","5","050","2015-04-13","Darlington"
"Caffe Nero","Restaurant/Cafe/Canteen","DL1 5PW","5","000","2016-03-10","Darlington"
"Cakealicious","Other catering premises",NA,"5","000","2015-03-17","Darlington"
"Cakealynn","Other catering premises",NA,"5","000","2014-06-18","Darlington"
"Cake-el-icious Couture","Other catering premises",NA,"5","000","2016-06-16","Darlington"
"Cakes \& Bakes By Laura","Other catering premises",NA,"AwaitingInspection","","","Darlington"
"Calico Guest House","Hotel/bed & breakfast/guest house","DL3 6AJ","5","000","2015-03-27","Darlington"
"Cambian Victoria House Independent Hospital","Hospitals/Childcare/Caring Premises","DL1 2LN","5","000","2016-11-23","Darlington"
"Campervan Cupcakes","Other catering premises",NA,"5","000","2014-05-14","Darlington"
"Candles Club","Hospitals/Childcare/Caring Premises","DL5 6PH","5","000","2015-02-23","Darlington"
"Captain Wok Chinese Takeaway","Takeaway/sandwich shop","DL3 9UH","5","000","2015-05-19","Darlington"
"Card Factory","Retailers - other","DL1 4PJ","Exempt","","2016-12-20","Darlington"
"Carmel Divine Centre","Other catering premises","DL3 9PN","2","","2016-03-11","Darlington"
"Carmel Education Trust At Holy Family School","School/college/university","DL3 9EN","5","050","2017-01-19","Darlington"
"Carmel Education Trust At St Augustine's RC Academy","School/college/university","DL3 7HP","5","000","2015-09-28","Darlington"
"Carmel Educational Trust At Carmel College","School/college/university","DL3 8RW","5","000","2015-09-18","Darlington"
"Carters Butchers","Retailers - other","DL1 1XQ","5","055","2015-11-10","Darlington"
"Catering In Style","Other catering premises",NA,"5","000","2016-01-08","Darlington"
"Caterplus Services Ltd","Hospitals/Childcare/Caring Premises","DL1 1AG","5","000","2016-09-02","Darlington"
"Central Park Catering","School/college/university","DL1 1DR","5","505","2015-06-18","Darlington"
"Chartwells At Queen Elizebeth Sixth Form College","School/college/university","DL3 7AU","5","000","2016-09-23","Darlington"
"Chele's Outdoor Catering","Mobile caterer","DL2 2JS","5","000","2016-02-11","Darlington"
"Cheungs Kitchen","Takeaway/sandwich shop","DL1 1UN","5","555","2016-09-21","Darlington"
"Children's Home","Hospitals/Childcare/Caring Premises",NA,"Exempt","","2015-01-14","Darlington"
"China Cottage","Takeaway/sandwich shop","DL1 2LP","5","000","2017-01-19","Darlington"
"China Express Ltd","Takeaway/sandwich shop","DL1 1TZ","4","10010","2016-12-07","Darlington"
"China House","Takeaway/sandwich shop","DL3 0GA","1","","2016-09-20","Darlington"
"China One","Takeaway/sandwich shop","DL1 1UW","4","5510","2016-09-22","Darlington"
"China Red","Restaurant/Cafe/Canteen","DL3 6JU","3","101010","2016-12-14","Darlington"
"China Star Takeaway","Takeaway/sandwich shop","DL1 5JQ","5","","2016-08-31","Darlington"
"Chullys","Restaurant/Cafe/Canteen","DL1 1RS","5","000","2016-08-02","Darlington"
"Clareful Creations","Retailers - other",NA,"5","000","2015-11-25","Darlington"
"Clervaux","Restaurant/Cafe/Canteen","DL3 7RG","5","555","2015-10-05","Darlington"
"Clervaux Life","Hospitals/Childcare/Caring Premises","DL3 7HA","5","000","2015-11-19","Darlington"
"Clervaux Life","Hospitals/Childcare/Caring Premises","DL3 7RA","5","000","2015-10-02","Darlington"
"Clervaux Trust (Life Care)","Hospitals/Childcare/Caring Premises","DL1 5ES","5","000","2016-04-12","Darlington"
"Cleveland Bridge Social Club","Pub/bar/nightclub","DL1 4DF","5","000","2015-09-03","Darlington"
"Clifton News","Retailers - other","DL1 5EB","5","000","2016-05-09","Darlington"
"Cockerton Band & Musical Inst.","Pub/bar/nightclub","DL3 9AB","5","000","2016-03-21","Darlington"
"Cockerton Fisheries","Takeaway/sandwich shop","DL3 9AA","5","555","2016-06-17","Darlington"
"Cockerton Methodist Church Lunch Club","Restaurant/Cafe/Canteen","DL3 9EG","5","000","2016-11-14","Darlington"
"Cockerton Sandwich Bar","Takeaway/sandwich shop","DL3 9EJ","5","500","2016-08-31","Darlington"
"Codrophenia","Mobile caterer","DL3 0DB","5","000","2016-11-21","Darlington"
"Coffee @ Elliotts","Restaurant/Cafe/Canteen","DL1 5NG","5","000","2016-05-16","Darlington"
"Coffee @ Elliotts","Restaurant/Cafe/Canteen","DL1 1LU","5","000","2017-03-06","Darlington"
"Coffee Bamber","Restaurant/Cafe/Canteen","DL1 1LT","5","000","2015-12-03","Darlington"
"Coffee Pot","Restaurant/Cafe/Canteen","DL3 9EU","4","1005","2015-09-21","Darlington"
"Coffee@Haughton","Restaurant/Cafe/Canteen","DL1 2DD","5","000","2014-06-20","Darlington"
"Collaboration","Restaurant/Cafe/Canteen","DL1 5QE","5","000","2015-02-10","Darlington"
"Community Services Catering","Restaurant/Cafe/Canteen","DL1 1RR","Exempt","","2016-03-11","Darlington"
"Coniscliffe Road Newsagents","Retailers - other","DL3 7RN","5","000","2015-11-11","Darlington"
"Consilium Academies At Wyvern Academy","School/college/university","DL3 9SH","5","050","2016-11-15","Darlington"
"Co-Op","Retailers - supermarkets/hypermarkets","DL2 2GL","5","000","2016-02-01","Darlington"
"Co-Op","Retailers - supermarkets/hypermarkets","DL3 9XT","5","000","2014-04-08","Darlington"
"Co-Op","Retailers - supermarkets/hypermarkets","DL3 9EP","5","050","2017-01-09","Darlington"
"Co-Op","Retailers - supermarkets/hypermarkets","DL1 3BN","5","000","2014-10-15","Darlington"
"Co-Operative Stores","Retailers - supermarkets/hypermarkets","DL3 9AA","5","000","2016-01-05","Darlington"
"Coopers Tea Rooms And Coffee House","Restaurant/Cafe/Canteen","DL3 7LP","5","000","2016-06-14","Darlington"
"Cooplands","Takeaway/sandwich shop","DL3 7QQ","AwaitingInspection","","","Darlington"
"Cooplands","Takeaway/sandwich shop","DL3 9AA","5","000","2016-07-15","Darlington"
"Cooplands","Takeaway/sandwich shop","DL1 1PP","5","000","2014-08-06","Darlington"
"Corporation Road Baptist Tabernacle Lunch Club","Other catering premises","DL3 6AR","5","505","2016-10-25","Darlington"
"Corporation Road Breakfast Club","Other catering premises","DL3 6AR","5","000","2016-06-10","Darlington"
"Costa Coffee","Retailers - other","DL1 1NR","5","000","2014-12-22","Darlington"
"Costa Coffee","Retailers - other","DL1 4AA","5","000","2014-07-14","Darlington"
"Costa Coffee Drive Thru","Takeaway/sandwich shop","DL1 4PU","5","000","2016-02-26","Darlington"
"Country Cuisine","Takeaway/sandwich shop","DL3 6DR","5","000","2016-10-25","Darlington"
"Country Harvest","Retailers - other","DL2 1LB","5","000","2016-09-22","Darlington"
"Cozy Coffee","Mobile caterer","DL1 3LA","5","000","2015-06-17","Darlington"
"Craig Shields","Retailers - other","DL1 5PX","AwaitingInspection","","","Darlington"
"Craig's Pizzeria","Takeaway/sandwich shop","DL3 6EZ","4","5105","2015-12-14","Darlington"
"Create \& Paint","Other catering premises","DL3 7NR","5","000","2016-07-04","Darlington"
"Creations By Paula Jane","Retailers - other","DL3 7JJ","5","000","2016-12-30","Darlington"
"Crescent Cakes","Other catering premises",NA,"5","000","2015-05-11","Darlington"
"Cricket And Social Club","Pub/bar/nightclub","DL2 1JG","5","000","2011-07-22","Darlington"
"Croft News","Retailers - other","DL2 2DH","5","000","2016-12-02","Darlington"
"Croft W.M.C.","Retailers - other","DL2 2DA","1","101520","2016-01-18","Darlington"
"Crombies Cafe","Restaurant/Cafe/Canteen","DL1 1PD","5","555","2017-01-16","Darlington"
"Crooners","Retailers - other","DL1 5SG","5","000","2016-03-03","Darlington"
"Crown Buttery & Restaurant","Restaurant/Cafe/Canteen","DL1 1LU","5","000","2015-06-26","Darlington"
"Crumb","Other catering premises","DL1 3DW","5","000","2017-03-17","Darlington"
"Crusty's","Takeaway/sandwich shop","DL1 4XJ","5","000","2015-09-08","Darlington"
"Crusty's Cafe","Restaurant/Cafe/Canteen","DL1 1UB","5","000","2016-04-14","Darlington"
"Cuisine Marmaris","Takeaway/sandwich shop","DL1 1QS","5","555","2016-01-07","Darlington"
"Cupcakeaholic","Other catering premises",NA,"5","000","2015-03-31","Darlington"
"Curry King","Takeaway/sandwich shop","DL3 6RG","2","101510","2016-03-15","Darlington"
"D \& G Catering","Pub/bar/nightclub","DL2 1DL","5","000","2015-10-12","Darlington"
"D\&S Bargains","Retailers - other","DL3 7JE","Exempt","","2014-12-03","Darlington"
"Daisy Dee's Home Baking","Other catering premises",NA,"5","000","2014-07-10","Darlington"
"Daisy Lady","Retailers - other","DL1 1QS","5","000","2016-05-19","Darlington"
"Dalesman","Pub/bar/nightclub","DL1 5JW","4","10010","2016-11-24","Darlington"
"Dalkeith House","Hospitals/Childcare/Caring Premises","DL3 8DB","5","000","2016-10-19","Darlington"
"Danesmoor House Day Nursery","School/college/university","DL3 8RH","3","51010","2016-11-03","Darlington"
"Daphnes Parkgate Cafe","Restaurant/Cafe/Canteen","DL1 1RX","5","000","2015-05-08","Darlington"
"Darlington And District Deaf Club","Restaurant/Cafe/Canteen","DL3 0NP","5","555","2013-01-16","Darlington"
"Darlington Boxing And Martial Arts Academy","Restaurant/Cafe/Canteen","DL2 1DL","Exempt","","2016-03-29","Darlington"
"Darlington Central WMC","Retailers - other","DL1 5RN","5","000","2017-01-05","Darlington"
"Darlington Club And Institute","Retailers - other","DL1 1UJ","5","000","2015-01-06","Darlington"
"Darlington College Child Care Centre","School/college/university","DL1 1DR","5","000","2016-11-09","Darlington"
"Darlington Cricket Club","Pub/bar/nightclub","DL1 5JD","5","000","2015-03-18","Darlington"
"Darlington Delicatessen","Retailers - other","DL1 1PB","5","555","2015-11-02","Darlington"
"Darlington East End W.M.C.","Pub/bar/nightclub","DL1 4AD","5","000","2016-12-14","Darlington"
"Darlington Freemasons Hall","Pub/bar/nightclub","DL3 6LS","5","000","2017-02-13","Darlington"
"Darlington Ice Cream","Retailers - other","DL1 2NS","5","000","2013-12-30","Darlington"
"Darlington Indoor Bowls Club Limited","Pub/bar/nightclub","DL1 2PP","5","000","2011-08-25","Darlington"
"Darlington Junior Unionist Club","Pub/bar/nightclub","DL3 6JW","5","005","2010-05-26","Darlington"
"Darlington Manor Residential Home","Hospitals/Childcare/Caring Premises","DL1 4AZ","5","000","2016-11-14","Darlington"
"Darlington Memorial Hospital Catering","Hospitals/Childcare/Caring Premises","DL3 6HX","5","000","2017-03-21","Darlington"
"Darlington Mind","Restaurant/Cafe/Canteen","DL1 1RR","5","555","2016-12-01","Darlington"
"Darlington Quoit Club","Pub/bar/nightclub","DL3 7TP","5","000","2017-01-04","Darlington"
"Darlington Railway Athletic","Retailers - other","DL3 9LF","5","505","2017-01-17","Darlington"
"Darlington Rugby Football Club Ltd","Pub/bar/nightclub","DL1 5NR","5","000","2017-02-14","Darlington"
"Darlington Snooker Club","Pub/bar/nightclub","DL3 6AE","5","000","2016-12-21","Darlington"
"Darlington Vintage Wedding Company","Other catering premises","DL3 9DJ","5","000","2016-06-06","Darlington"
"David Jackson Butcher Ltd","Retailers - other","DL1 5PX","5","555","2015-11-03","Darlington"
"Davina Lovegreen Catering","Restaurant/Cafe/Canteen","DL1 5DU","5","000","2016-11-14","Darlington"
"Dawn Murphy Cake Design","Other catering premises",NA,"5","000","2017-04-27","Darlington"
"Dee Dees","Restaurant/Cafe/Canteen","DL1 4PU","4","1005","2017-05-04","Darlington"
"Deli Stop","Retailers - other","DL1 1LU","3","101010","2016-10-27","Darlington"
"Deno's Return","Takeaway/sandwich shop","DL1 1PD","5","555","2016-03-03","Darlington"
"Desserts Darlington","Other catering premises",NA,"5","000","2014-11-27","Darlington"
"DFC","Takeaway/sandwich shop","DL3 7AQ","5","555","2016-05-05","Darlington"
"Diamond Catering (Mobile Trailer)","Mobile caterer","DL1 2DD","5","555","2016-06-02","Darlington"
"Diddy Doddy's Cakes","Other catering premises",NA,"AwaitingInspection","","","Darlington"
"Dine","Restaurant/Cafe/Canteen","DL3 6EH","5","","2015-06-11","Darlington"
"Dinsdale Court","Restaurant/Cafe/Canteen","DL2 1UB","5","000","2015-06-30","Darlington"
"DMP Arena Trading Ltd","Restaurant/Cafe/Canteen","DL2 1DL","AwaitingInspection","","","Darlington"
"Dogs Trust","Other catering premises","DL2 1SL","Exempt","","2014-10-09","Darlington"
"Domino's Pizza","Takeaway/sandwich shop","DL1 1RL","4","5105","2016-06-23","Darlington"
"Dragon Place","Takeaway/sandwich shop","DL1 4SA","5","000","2016-02-04","Darlington"
"DSRM Sports & Social Club","Pub/bar/nightclub","DL3 0HX","5","000","2015-09-18","Darlington"
"D'ton Fish Shop","Takeaway/sandwich shop","DL1 4AD","5","000","2016-05-06","Darlington"
"Duke Bombay Cafe","Restaurant/Cafe/Canteen","DL3 7UT","AwaitingInspection","","","Darlington"
"Earl Keelan House","Hospitals/Childcare/Caring Premises","DL3 8PD","5","000","2015-01-30","Darlington"
"Earlston House","Hospitals/Childcare/Caring Premises","DL3 8DE","5","000","2015-07-16","Darlington"
"East View Guest House","Hotel/bed & breakfast/guest house","DL1 1UR","5","000","2016-04-06","Darlington"
"East West Foods","Retailers - other","DL3 6LE","5","555","2017-02-15","Darlington"
"Eastbourne Care Home","Hospitals/Childcare/Caring Premises","DL1 4JF","3","10510","2016-10-14","Darlington"
"Eastbourne Pre School","Hospitals/Childcare/Caring Premises","DL1 1LJ","5","000","2016-12-14","Darlington"
"Eastbourne Sports Complex Snack Cabin","Takeaway/sandwich shop","DL1 1LJ","5","000","2016-11-04","Darlington"
"Eastern Bamboo Restaurant","Restaurant/Cafe/Canteen","DL1 1QU","5","055","2015-08-14","Darlington"
"Easy Shop","Retailers - other","DL1 5JW","5","000","2015-02-25","Darlington"
"Eden Cottage Residential Home","Hospitals/Childcare/Caring Premises","DL1 4JF","5","505","2016-12-09","Darlington"
"Edible Sensations","Retailers - other",NA,"5","000","2014-12-11","Darlington"
"Egglestone Catering Services At Magnet","Restaurant/Cafe/Canteen","DL1 4XT","5","555","2016-03-31","Darlington"
"Elderwood","Hospitals/Childcare/Caring Premises","DL3 0FB","5","000","2016-03-10","Darlington"
"Elior UK Services At EE","Restaurant/Cafe/Canteen","DL1 4PW","5","000","2016-03-11","Darlington"
"Elior UK Services At EE","Restaurant/Cafe/Canteen","DL1 4XW","5","000","2016-03-11","Darlington"
"Ellipsis Retail","Retailers - other","DL3 9NQ","5","000","2016-02-17","Darlington"
"Elm Ridge Gardens Ltd","Retailers - other","DL3 8DH","5","000","2017-04-28","Darlington"
"Elm Ridge Methodist Church And Friends Lunch Club Elm Ridge","Restaurant/Cafe/Canteen","DL3 8DJ","5","000","2016-09-13","Darlington"
"Elm Ridge Pre-school/play Group","Restaurant/Cafe/Canteen","DL3 8DJ","5","000","2015-02-13","Darlington"
"Embletons Catering","Mobile caterer","DL1 1YF","5","000","2016-09-21","Darlington"
"Emerson Arms","Pub/bar/nightclub","DL2 2AQ","5","555","2015-09-07","Darlington"
"Espresso To Go","Mobile caterer","DL1 1DU","5","000","2017-02-14","Darlington"
"Family Market","Retailers - other","DL3 6JZ","5","555","2016-03-29","Darlington"
"Famous Goldenfry","Takeaway/sandwich shop","DL1 5JH","3","101010","2015-10-09","Darlington"
"Farmfoods Ltd","Retailers - supermarkets/hypermarkets","DL1 4BN","5","000","2017-01-03","Darlington"
"Fatso's Filling Station","Takeaway/sandwich shop","DL1 1LS","5","000","2015-11-09","Darlington"
"Fatso's Filling Station","Takeaway/sandwich shop","DL1 1PY","5","500","2016-01-04","Darlington"
"Federation Of Abbey Schools Academy Trust AtAbbey Infants Sc","School/college/university","DL3 8JA","5","000","2016-04-15","Darlington"
"Fenwicks","Takeaway/sandwich shop","DL1 5PX","5","555","2017-01-17","Darlington"
"Fenwicks Family Butchers","Retailers - other","DL1 5PX","5","555","2015-07-07","Darlington"
"Ferndene Nursery","Hospitals/Childcare/Caring Premises","DL3 8PQ","5","000","2016-01-26","Darlington"
"Finbarr's At West Park","Restaurant/Cafe/Canteen","DL2 2GL","5","000","2015-09-11","Darlington"
"Fir Tree House","Hospitals/Childcare/Caring Premises","DL1 4EX","5","000","2016-02-29","Darlington"
"First Class Catering Unit 1","Mobile caterer","DL1 4ET","5","000","2016-03-04","Darlington"
"First Step 2 Fitness","Retailers - other","DL1 5JN","Exempt","","2017-04-21","Darlington"
"Firthmoor Community Kitchen","Restaurant/Cafe/Canteen","DL1 4SU","5","005","2015-10-27","Darlington"
"Firthmoor Fisheries","Takeaway/sandwich shop","DL1 4SB","5","000","2015-11-17","Darlington"
"Flora House Nursery","Hospitals/Childcare/Caring Premises","DL3 8PA","5","000","2016-04-15","Darlington"
"Flossy B's","Restaurant/Cafe/Canteen","DL3 6LB","5","000","2017-01-23","Darlington"
"Food Store","Retailers - other","DL1 5DG","5","000","2016-05-09","Darlington"
"Foundations (Adult Learning Disability Services)","Other catering premises","DL1 3DT","4","1005","2017-04-20","Darlington"
"Frankies","Pub/bar/nightclub","DL3 7NW","5","000","2014-10-29","Darlington"
"Franki's","Restaurant/Cafe/Canteen","DL1 1LE","4","1005","2017-04-19","Darlington"
"Fredricks Coffee Shop","Restaurant/Cafe/Canteen","DL1 1LT","5","555","2015-05-15","Darlington"
"Fresh Fayre","Retailers - other","DL1 2LB","1","151520","2016-05-31","Darlington"
"Friends Lunch Club","Other catering premises","DL3 9SR","5","000","2015-06-04","Darlington"
"Friends Meeting House","Retailers - other","DL3 7NB","5","000","2016-06-30","Darlington"
"Frydays","Takeaway/sandwich shop","DL3 6NX","5","000","2015-09-23","Darlington"
"Fryer Tucks  (Mobile Hot Food Trailer)","Mobile caterer","DL1 2DY","5","505","2015-05-28","Darlington"
"Gala Bingo Club","Pub/bar/nightclub","DL3 7NR","5","000","2015-05-26","Darlington"
"Gathering Grounds","Pub/bar/nightclub","DL3 7TW","5","000","2015-10-08","Darlington"
